"N.ASIG";"S.ASIG";"P.MAT";"P.LEN";"P.NEM";"PTU";"PROM.EM";"BECA.ARAN";"BECA.MANT"
3,9;"R";650,052412042579;597,449878516562;593,048134987769;648,895690858639;6,30007946453989;93,58;300
5,8;"A";730,341124013722;536,794323156367;424,66942288267;602,564777553669;5,76294142752886;71,28;200
3,5;"R";706,517743654008;675,875558091171;559,114013694017;438,709538791424;5,9491770286113;97,82;350
4,1;"A";722,0970356014;680,262665237019;726,571084481489;502,551315761316;5,86269807182252;58,74;150
4,5;"A";672,127896479434;607,818274542897;690,060318868802;689,22168511457;5,50537918433547;67,16;100
5,4;"A";726,6903895381;565,516016700249;620,896351743558;722,834763278003;5,24202626347542;62,61;250
5;"A";691,355996190629;590,645230451014;550,28417972524;597,588375480229;5,65275227800012;88,5;100
3,7;"R";661,097835545438;635,550133174838;565,251338825294;625,420167299989;5,40098154209554;31,55;0
5,1;"A";695,884098594026;562,746311372621;623,893422330417;660,028609102749;5,46862482614815;17,51;150
3,2;"R";635,260313493608;638,261909666778;537,194519818682;460,4818534024;6,54012209512293;27,2;50
4,8;"A";708,318447174538;518,371555752226;641,435439175319;569,358403980901;5,44805485419929;24,48;0
5,2;"A";711,928125014798;513,074869545868;623,129106473051;733,128540809129;6,07953308038414;59,6;150
4;"A";659,990192112129;605,423147570105;642,19872249929;579,001381735381;5,68788318969309;3,6;50
3;"R";636,131922047622;615,709135097578;629,181792736814;660,792637118439;5,86068248450756;32,63;400
3,8;"R";661,019431097336;630,398057688848;555,305278654312;578,014214371233;6,79403852000832;53,47;250
4,9;"A";695,038757519401;506,405125686184;629,148018475657;446,337895853609;6,5966340135783;40,01;250
5,4;"A";673,791071019474;574,746225563077;568,696645214253;627,242396090249;6,24503838792443;71,53;100
1,8;"R";555,048527273872;657,878172986414;587,214479192949;599,24260221615;5,63584641329944;50,88;400
4,2;"A";626,736965855338;550,363275850061;610,036907317052;672,302688888856;6,69163132086396;93,92;0
4,9;"A";722,36975054951;546,090098960926;632,299830647521;674,588561968768;5,25336714349687;91,13;300
5,3;"A";784,156980920359;542,233024076802;624,826505813907;595,536332197075;5,50426336377859;57,67;0
2,6;"R";632,198894498083;670,661008672049;607,702292658017;622,012415176824;5,4510928478092;62,79;250
5,1;"A";704,754207699001;530,509881037919;580,435873053903;569,071697041233;5,63526265658438;28,92;0
4,7;"A";740,201075038962;635,077204200698;597,187389914467;471,263372684923;6,07388163246214;72,31;100
4,9;"A";704,785926809409;616,759693222305;617,577953712601;635,971635591212;6,6530612885952;21,81;150
3,8;"R";640,692518672423;577,836352755583;473,304436529757;723,75885189233;5,8493929117918;64,89;350
4,1;"A";707,059028652013;580,162968510723;593,258710656002;678,612260712457;6,72605118639767;2,89;250
5,2;"A";741,487187329371;600,389638137126;547,901799241816;632,198529553888;6,17035565003753;72,02;400
4,7;"A";685,499365150943;593,431316690441;550,14457693053;619,453167395204;6,49477416761219;94,58;250
4,8;"A";687,204105629341;626,854509556046;617,30609494214;564,381713802734;6,69486774653196;93,9;250
3,2;"R";622,172817164028;634,847222716535;590,981107442047;524,480085644874;5,94078458733857;19,18;300
4,1;"A";606,379902852148;579,3654695432;607,902494897916;648,811864485364;6,16866424456239;33,9;400
4;"A";675,807410443327;669,635122712271;509,60985040341;641,3927474204;6,02854541875422;10,4;150
4,6;"A";681,488613781893;552,343399354828;687,329456843035;504,309253755916;6,78851497806609;3,48;150
2,6;"R";612,6845682605;705,73731656349;721,188273943383;604,69573619404;5,77001403458416;76,85;250
5,3;"A";701,844522249126;517,347348513192;470,051584241944;644,514013277096;5,53103321045637;5,29;300
5,3;"A";718,929088573875;586,413371519644;524,202608861166;527,193412124718;5,83762769065797;5,22;400
5,8;"A";740,024404913595;559,106825813497;775,108502249762;718,947359174348;5,84009084589779;24,58;50
4,2;"A";709,690389810271;578,838987920693;604,733109569345;606,618377592482;6,08352557308972;14,68;150
5,4;"A";641,89493595643;443,865885216951;536,066079518303;592,742165107559;6,13885614946485;2,87;350
5;"A";673,153723253772;541,581057554617;547,350106984695;640,506282301833;6,35716361775994;95,05;200
5,1;"A";728,84484323855;545,920528244171;651,547105482624;581,16468254309;5,75812543742359;38,11;150
4,4;"A";661,19882054225;559,523456611057;573,175242756107;541,555546747146;5,9436968922615;80,51;200
5,2;"A";768,670195470482;534,322370231866;557,564011365929;612,713217494098;5,66568170785904;70,63;200
3,4;"R";631,381205292528;568,196336483714;655,303470116602;637,228975746132;6,18463657274842;97,66;200
4,3;"A";705,981722362466;607,907856128872;724,957017346247;603,622270558306;6,41719008684158;52,69;0
2,5;"R";621,040972360989;677,430177169813;709,7797658419;480,750886935552;6,28991638459265;28,86;0
5,6;"A";734,811180802323;556,910411834169;599,924169072188;663,764408196957;6,73661882914603;82,68;300
4,9;"A";707,978335223415;559,243832748332;670,554000718952;657,930076260596;5,89688375256956;64,22;0
4;"A";654,686971765663;499,982651735259;510,508108065599;558,486949203345;6,03707159608603;54,5;100
3,7;"R";667,048726599575;629,993414119019;595,938940226533;620,985473339843;5,39034247212112;11,48;400
5,5;"A";674,382627599996;531,330267525278;593,196145585448;600,490892062399;5,23719563223422;73,57;150
5,7;"A";734,116813277244;601,179455738132;565,011478253939;539,298647844123;5,774510858953;46;100
3,3;"R";671,935039491679;657,017128383333;554,57567713417;579,95483768937;6,59391714185476;24,52;200
3,8;"R";665,189410445326;741,574196472058;602,721753455541;686,921238354388;6,62003896385431;81,92;0
5,4;"A";654,091727031938;484,166199255598;732,84544856517;539,20966945713;5,26837091855705;25,59;200
4,2;"A";666,323135632433;632,567625183827;707,334039766699;525,665180407441;6,35027987845242;66,25;150
2,5;"R";569,6070185672;610,493653694769;543,141196094051;501,474210731203;6,14665397517383;75,72;400
4,9;"A";742,282391436389;611,330291638817;653,78491711321;646,885912594231;6,06253913342953;27,37;400
4,4;"A";689,128461885957;647,724562757961;654,039000884382;593,196972999011;5,20395336858928;48,07;150
3,8;"R";684,427856348939;610,069416648224;675,715716356757;556,525613859833;5,48025597818196;77,86;200
2,1;"R";576,230934877937;620,396470710377;577,843633959419;690,336029458016;6,0274183768779;18,56;400
4;"A";626,600709540383;568,51701858148;653,891055409298;599,994739006365;6,2916342638433;24,95;50
5,6;"A";717,160408380951;542,884705661023;573,5144968472;517,636552749329;6,45783794187009;31,43;400
4,6;"A";690,819836957624;570,082291640677;496,862779674964;536,155861199918;6,02888231687248;8,32;200
4,7;"A";729,389290244414;536,556724586094;581,240294048298;545,104198904721;6,35277818925679;7,49;200
4,3;"A";675,04119945426;572,426643251346;639,878383343914;568,815866114669;6,37229678146541;16,68;100
5,4;"A";692,284921755789;577,531815395285;595,960088800452;629,67675004079;5,84329831898212;69,88;300
5,6;"A";710,682640215424;536,794917813144;551,607016763784;601,07046221062;6,64132467471063;86,16;0
4,8;"A";660,545535144474;543,420340043018;594,657109557485;581,487921461828;5,48707472234964;52,2;350
5;"A";719,265110113386;527,355438488107;640,345934857646;636,929944449294;5,9615205232054;75,91;300
3,6;"R";593,779922028115;552,725539793392;626,398863969797;663,38960852037;6,57560646273196;94,18;50
3,8;"R";603,296929569668;577,822283428334;695,398594611411;703,272724821569;6,31088903769851;90,29;250
4,3;"A";713,516703108893;600,456018572559;626,173406675509;596,277028860696;5,91312013305724;11,8;300
3,5;"R";719,995698344301;710,841412433272;452,018843459435;591,31005795584;6,53471223600209;62,37;100
3,9;"R";713,449403287416;664,889284584273;595,942529098354;725,610675604294;5,46234571747482;30,52;350
4,1;"A";649,641998123619;571,539001217855;536,330839892691;598,089474670429;5,64555830918252;34,71;100
4,8;"A";637,516716852804;481,158816059126;616,133125137076;576,626718304746;6,06100799813867;53,37;0
3,3;"R";674,34846349997;687,107881502494;679,329061319544;556,92046878369;6,46841777041554;11,14;150
5,2;"A";704,874901901623;550,353640474644;624,109722057465;658,918935630813;6,50314837507904;36,31;350
5,2;"A";761,843119512943;587,623044918526;578,11275296178;629,520014611011;6,08119894303381;16,19;350
4,9;"A";732,675759810598;661,891755655171;570,957921806052;670,91988874147;6,14464742541313;98,44;200
4,7;"A";670,569564686396;481,758271460169;625,911084975159;601,676244150045;5,22754743881524;78,77;150
5,3;"A";734,554087775861;519,791664906351;627,249314254731;554,409669921858;5,6434120003134;26,73;0
4,5;"A";703,874591103465;614,515979119755;679,779928203535;510,650730449284;6,42412072680891;77,72;100
5,3;"A";677,602369540781;525,605329212109;489,827147410468;543,305332876444;5,36080285087228;91,01;100
5,2;"A";760,539838928503;536,79914997013;554,996835752704;593,680986125226;5,91282638609409;61,93;100
5;"A";739,930689806929;610,298394943923;570,303766070807;514,329746678421;6,10018557533622;74,53;300
4,4;"A";730,370884454394;619,756648469809;559,536628149142;698,783473722017;5,93323333673179;35,76;350
4,6;"A";689,655046362591;542,769926905067;602,818962921608;628,48526158616;6,39544529393315;44,54;350
4,8;"A";692,565509289572;587,435721027048;679,395331298315;560,575883682377;6,70160092264414;93,56;250
4,5;"A";702,958128177157;592,707028524989;678,062089200182;671,465689879774;6,55157926753163;35,45;100
6;"A";701,264083845472;457,802852553692;557,544290875145;562,289726086423;6,7451134942472;46,59;400
4,5;"A";657,760328850494;502,342018724951;682,121880863376;630,046259937053;6,62008595727384;6,71;200
4,2;"A";650,816754314566;508,00511243188;539,704345026465;572,227662614487;5,31171608716249;90,71;250
5,4;"A";710,248868210773;584,551464941763;581,722180434473;705,296337089664;5,23933710604906;23,06;250
4,5;"A";670,61003799107;528,540556338939;669,714992275199;596,477193461785;6,48344488330185;30,46;300
5,7;"A";709,857217702697;490,077058979409;543,581370849099;624,909098106586;5,34677635356784;30,1;50
3,6;"R";654,204544376042;604,434397367768;561,197872279938;621,28657994184;6,28494396097958;94,84;300
3,8;"R";655,223751537824;527,376130687071;490,548861025775;383,5024708901;6,06190353371203;22,68;200
4,8;"A";630,829434051002;520,494795289561;558,669958257804;507,143245751172;5,46781701557338;86,2;400
2,9;"R";689,713634467589;708,613136523342;509,985305776175;679,436370977;5,96083058677614;20,39;250
5,5;"A";723,033037559896;527,541862546307;548,366401202583;711,200946208973;5,99935247898102;95;100
4,1;"A";619,806708487375;468,563294024765;517,027107279332;562,08532536114;6,13686402216554;67,21;150
5,3;"A";723,210240355679;594,092942546584;486,786464282502;631,794110610399;5,70415483936667;77,11;400
4,9;"A";683,539249888379;529,853084232214;598,488925174136;623,322473048689;5,3771529853344;71,36;100
5,6;"A";741,351265628067;623,284955105839;626,982835460902;610,813296678783;6,40378340817988;84,46;50
4,6;"A";688,147275045187;523,555007091698;516,301447678695;619,495727930634;6,63923036344349;89,26;200
4,8;"A";680,456317213498;552,658650762409;502,225173256264;562,611011009982;6,39011979065836;97,1;150
3,8;"R";676,235779478558;638,667399562619;543,347981569556;561,529812752789;6,7988634429872;98,47;0
5;"A";690,498666960477;504,673863296925;515,985677917061;519,841906336235;5,51393825113773;29,31;50
5;"A";670,357722891919;543,278665081099;618,573998430407;659,522479276648;5,88398137651384;43,78;100
5,7;"A";711,789304759946;493,822416349389;568,50162436884;784,830677683704;5,66315420567989;85,38;0
4,4;"A";714,823425950391;684,426870727369;541,782795463579;585,263027788122;5,54105823002756;55,45;300
3,9;"R";699,254936880506;682,093678204669;457,190695407047;548,864970308645;5,36868650019169;82,96;400
4,4;"A";686,97574275019;541,265931565651;562,122659367713;624,742954648168;6,59962005242705;53,82;400
4,1;"A";616,604165320672;636,518275137081;463,101382263666;720,681549181729;6,13361055850983;40;250
4,6;"A";685,873759097034;503,649096206626;581,580226447172;642,905470121756;5,58525648340583;70,62;150
4,8;"A";635,233287609582;508,022482227457;603,789074364714;565,272104528494;6,40281324386597;26,01;150
5,1;"A";651,200913977568;529,633134145115;555,864220595401;626,68277725717;5,65287968292832;58,13;200
5,6;"A";707,020060594148;470,028165475091;586,222884053368;627,373132401916;5,81152985990047;24,27;200
4,2;"A";615,123422653405;608,324165800144;582,587560773075;606,802463434195;5,94834815561771;39,37;100
2,6;"R";637,530933463904;661,165678986191;633,594659404533;541,344269761358;6,47330740578473;60,92;350
4,6;"A";656,671211134119;534,119436780662;669,591973889354;619,28462158897;6,74865390881896;21,58;200
6;"A";670,257293755003;477,450736759058;556,901953122976;548,338404914937;5,74112218618393;33,87;0
5,6;"A";688,579902456976;462,314422883694;577,438968157148;669,091243835604;6,26057888157666;15,42;350
5,9;"A";703,399332906462;471,967028591742;592,56208676211;611,913375253704;6,44127336777747;54,39;250
3,2;"R";707,116216424567;715,742689879379;654,656671702716;647,235660309935;5,76084099821746;78,5;0
4,7;"A";626,48789159668;461,012289585708;616,616610636426;660,417528894576;6,27719690687954;47,79;100
5,8;"A";719,677881871191;496,201857762917;652,115271228801;589,95315803107;6,22762876451015;89,82;150
5,2;"A";661,915363168556;494,441303576619;692,445644443603;591,959168403515;6,48935767561197;99,78;250
5,1;"A";692,224024002807;492,353754036263;617,470350663443;742,367648610172;5,69912944845855;1,83;0
4,2;"A";680,514849366374;645,322628416343;642,607732295197;636,459523120104;5,40682580694556;70,51;300
4,7;"A";659,805096981023;609,31862885609;582,487202014535;558,551183332985;6,31330128163099;67,43;400
4,9;"A";716,034869147416;510,180878431256;537,03309043578;510,276523826116;5,71843939982355;93,73;150
4,5;"A";648,807544855403;487,439909178461;531,948576557542;581,954932147745;5,53698673546314;94,64;400
5,6;"A";749,142250728791;572,584594890742;577,307892856619;469,820318075928;6,62633825689554;61,01;100
4;"A";624,65492067702;559,647623233312;719,066056034973;471,032227561278;5,26590373925865;75,89;0
3,9;"R";661,371385329129;578,264393436463;551,908681993765;515,242224150398;5,37345236428082;40,84;0
4,4;"A";691,647619183054;534,398725946435;637,950448243923;603,879215266771;5,59213630445302;39,02;350
2,8;"R";608,117570038227;587,569613338539;702,727599388671;483,047620735502;5,38795432634652;96,2;100
6,1;"A";742,151753572463;506,158762301165;609,028464809363;613,902532258879;5,22274840474129;88,02;200
2,8;"R";670,157397281013;708,120164205576;509,459310775813;624,086984313195;6,12644674964249;57,93;0
4,2;"A";696,62510272317;527,156874698825;607,807330186223;626,754872925734;6,46983502842486;39,45;100
5,1;"A";652,72688707691;479,44169024127;650,15990504373;695,213388083409;6,68526517599821;78,71;0
3,1;"R";623,632277841065;563,473339047551;616,413033357936;627,386486807637;6,26475587077439;1,26;200
4,4;"A";696,165455427909;575,51589108221;605,536274944319;604,968072438811;6,03648064285517;2,33;100
4,6;"A";721,356035040005;575,535502839451;464,065187123281;503,764385654598;6,67428907938302;31,56;200
4,1;"A";655,170813384174;507,272664318939;646,841758195966;626,471270840417;6,67662218026817;65,18;300
3,4;"R";662,856998765491;677,535528246087;658,859188506331;556,826934582522;6,71359879262745;57,06;300
3,9;"R";672,2593787938;574,943007469453;628,086825193448;639,604569620924;6,53120409175754;41;350
3,8;"R";585,037838137731;546,294248633305;560,391984967193;545,067323196118;6,36649379879236;19,83;350
2,9;"R";631,983316905038;627,876271249468;657,46754765193;619,804809226931;6,33441221192479;39,27;200
4,2;"A";678,907333191545;632,109522399157;673,632375936914;571,585957153873;6,56153354234993;68,47;250
3,3;"R";605,287559820453;571,70803544312;572,800099871815;532,030912615752;5,24963657669723;50,38;100
3,9;"R";660,731619486882;576,142600245372;593,375024365718;648,660212890124;6,749197114259;79,09;300
4;"A";686,498572923815;593,589338461591;703,619721323389;552,711007318343;6,08930982165039;70,96;400
4,8;"A";709,550826723237;542,538527931528;649,477285890992;752,952732627639;5,29752955399454;17,25;100
4,8;"A";753,720805050912;611,288034638834;588,357272656195;548,54942962822;5,67571871243417;3,23;250
3,2;"R";674,588863326106;621,486729822405;635,893536750948;646,037906727664;6,64816255383194;94,16;400
5,4;"A";741,181780475249;509,707023167105;578,171925939285;567,056231207904;5,32961367480457;36,55;0
4,2;"A";644,053699904311;571,683499179022;635,652488226726;628,105424377328;6,36417702138424;79,13;200
4,6;"A";673,568321590036;595,323107011968;725,186066266796;558,992386841155;5,63694592304528;54,89;250
4,2;"A";699,756819005225;626,203170843447;448,181140628893;643,269371745637;5,42306459099054;37,32;300
